           0         1         2         3         4         5
0  -0.022903 -0.032472  0.033169 -0.038093  0.003795  0.103748
1   0.099396  0.060474  0.026694 -0.530785 -0.120309  0.163638
2   0.031767  0.259875  0.140226  0.646569  0.055770 -0.097050
3  -0.005256  0.408849  0.109534  0.587004  0.016184  0.039149
4  -0.079266  0.255342  0.229308  0.391760 -0.136293  0.033401
5  -0.143645  0.491049  0.085649  0.451090  0.009111  0.105888
6   0.005623  0.123647  0.540150  0.004221  0.183458  0.138798
7   0.084358  0.106505  0.652496  0.056538  0.079203  0.208580
8  -0.033946  0.049796  0.545877  0.100286 -0.012372  0.054480
9   0.231617  0.008989 -0.672785 -0.089980 -0.153451  0.226977
10  0.293402 -0.143644 -0.559704 -0.047070  0.025614  0.095779
11  0.053102 -0.521477  0.026492 -0.090545 -0.059281  0.332019
12  0.263189 -0.622923 -0.110758 -0.074550 -0.030440  0.291204
13  0.001190  0.630565  0.077417  0.153883  0.214213  0.092152
14 -0.147239  0.682818  0.103904  0.206513 -0.133272 -0.037737
15  0.021978  0.504384  0.312383  0.048448  0.185218 -0.113509
16  0.790967  0.033469 -0.040014 -0.191516 -0.077378 -0.168159
17  0.777085 -0.017659 -0.021737 -0.155586  0.007643 -0.199391
18  0.728187 -0.036146 -0.067460 -0.023134 -0.015325  0.021926
19  0.597786 -0.277073 -0.183704  0.018615  0.064511  0.182889
20  0.534791 -0.112937 -0.040972  0.096450 -0.164581  0.111857
21 -0.008919  0.302318  0.107331 -0.001342  0.464345  0.167416
22  0.161465  0.020296 -0.100517  0.046919 -0.500643  0.084164
23  0.019625  0.402120  0.070429  0.063634  0.547842  0.120816
24  0.228721 -0.092648 -0.030003  0.148015  0.346283  0.202286
25  0.068020  0.000920 -0.062239 -0.053138 -0.579933  0.106621
